A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2016-01-07 06:00,2016,1,7,6,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 07:00,2016,1,7,7,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 08:00,2016,1,7,8,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 09:00,2016,1,7,9,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 10:00,2016,1,7,10,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 11:00,2016,1,7,11,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 12:00,2016,1,7,12,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 13:00,2016,1,7,13,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 14:00,2016,1,7,14,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 15:00,2016,1,7,15,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 16:00,2016,1,7,16,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 17:00,2016,1,7,17,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 18:00,2016,1,7,18,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 19:00,2016,1,7,19,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 20:00,2016,1,7,20,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 21:00,2016,1,7,21,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 22:00,2016,1,7,22,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 23:00,2016,1,7,23,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 00:00,2016,1,8,0,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 01:00,2016,1,8,1,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 02:00,2016,1,8,2,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 03:00,2016,1,8,3,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 04:00,2016,1,8,4,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 05:00,2016,1,8,5,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 06:00,2016,1,8,6,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 07:00,2016,1,8,7,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 08:00,2016,1,8,8,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 09:00,2016,1,8,9,21,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 10:00,2016,1,8,10,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 11:00,2016,1,8,11,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 12:00,2016,1,8,12,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 13:00,2016,1,8,13,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 14:00,2016,1,8,14,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 15:00,2016,1,8,15,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 16:00,2016,1,8,16,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 17:00,2016,1,8,17,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 18:00,2016,1,8,18,61,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 19:00,2016,1,8,19,99,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 20:00,2016,1,8,20,124,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 21:00,2016,1,8,21,135,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 22:00,2016,1,8,22,137,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-08 23:00,2016,1,8,23,138,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 00:00,2016,1,9,0,136,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 01:00,2016,1,9,1,124,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 02:00,2016,1,9,2,85,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 03:00,2016,1,9,3,82,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 04:00,2016,1,9,4,74,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 05:00,2016,1,9,5,48,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 06:00,2016,1,9,6,33,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 07:00,2016,1,9,7,28,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 08:00,2016,1,9,8,28,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 09:00,2016,1,9,9,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 10:00,2016,1,9,10,29,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 11:00,2016,1,9,11,31,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 12:00,2016,1,9,12,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 13:00,2016,1,9,13,44,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 14:00,2016,1,9,14,44,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 15:00,2016,1,9,15,32,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 16:00,2016,1,9,16,48,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 17:00,2016,1,9,17,57,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 18:00,2016,1,9,18,87,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 19:00,2016,1,9,19,102,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 20:00,2016,1,9,20,144,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 21:00,2016,1,9,21,173,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 22:00,2016,1,9,22,164,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-09 23:00,2016,1,9,23,124,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 00:00,2016,1,10,0,83,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 01:00,2016,1,10,1,70,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 02:00,2016,1,10,2,61,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 03:00,2016,1,10,3,44,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 04:00,2016,1,10,4,28,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 05:00,2016,1,10,5,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 06:00,2016,1,10,6,26,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 07:00,2016,1,10,7,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 08:00,2016,1,10,8,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 09:00,2016,1,10,9,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 10:00,2016,1,10,10,39,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 11:00,2016,1,10,11,43,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 12:00,2016,1,10,12,55,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 13:00,2016,1,10,13,63,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 14:00,2016,1,10,14,50,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 15:00,2016,1,10,15,74,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 16:00,2016,1,10,16,69,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 17:00,2016,1,10,17,67,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 18:00,2016,1,10,18,68,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 19:00,2016,1,10,19,69,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 20:00,2016,1,10,20,76,µg/m³,1 Hr,Valid
